"Ботильоны By Sapato","<dl><dt>Артикул:</dt><dd>BySapato7129613</dd><dt>Дизайн</dt><dd>designedinItaly</dd><dt>Сезон</dt><dd>Демисезон</dd><dt>Цвет</dt><dd>Черный</dd><dt>Внешнийматериал</dt><dd>Нат.замша/Нат.кожа</dd><dt>Внутреннийматериал</dt><dd>Искусcтвеннаякожа</dd><dt>Стелька</dt><dd>Искусственнаякожа</dd><dt>Подошва</dt><dd>Искусcтвенныйматериал</dd><dt>Высотакаблука</dt><dd>80</dd><dt>Высотаголенища</dt><dd>90</dd><dt>Объемголенища</dt><dd>230</dd><dt>Размерность</dt><dd>Размервразмер</dd></dl><p>Обувь, которую мы измерили была 38 размера</p><p>Модные ботильоны от By Sapato выполнены из натуральной темно-серой замши и дополнены крупной эластичной вставкой в области щиколотки. Эффектный коричневый ремешок с крупной металлической пряжкой гармонично сочетается со скошенным высоким каблуком и придает модели яркий акцент. Внутренняя отделка исполнена из кожи.</p>","3110","http://www.sapato.ru/680951","5624750x1000_ut000021318_1.jpg"
"Ботильоны By Sapato","<dl><dt>Артикул:</dt><dd>BySapato5213304</dd><dt>Дизайн</dt><dd>designedinItaly</dd><dt>Сезон</dt><dd>Демисезон</dd><dt>Цвет</dt><dd>Зеленый</dd><dt>Внешнийматериал</dt><dd>Нубук</dd><dt>Внутреннийматериал</dt><dd>Искусcтвеннаякожа</dd><dt>Стелька</dt><dd>Искусственнаякожа</dd><dt>Подошва</dt><dd>Искусcтвенныйматериал</dd><dt>Высотакаблука</dt><dd>60</dd><dt>Размерность</dt><dd>Размервразмер</dd></dl><p>Обувь, которую мы измерили была 38 размера</p><p>Трендовые ботильоны от By Sapato в цвете хаки. Модель выполнена из нежного нубука и украшена тонкой шнуровкой, а также вставкой в области мыса и декоративными отстрочками. Внутри - отделка из кожи. Широкий устойчивый каблук стилизован под дерево.</p>","2630","http://www.sapato.ru/680945","5287750x1000_ut000021311_1.jpg"
"Ботильоны Betsy","<dl><dt>Артикул:</dt><dd>Betsy219013</dd><dt>Дизайн</dt><dd>designedinEU</dd><dt>Сезон</dt><dd>Демисезон</dd><dt>Цвет</dt><dd>Черный</dd><dt>Внешнийматериал</dt><dd>Искусcтвеннаякожа</dd><dt>Внутреннийматериал</dt><dd>Текстиль</dd><dt>Стелька</dt><dd>Текстиль</dd><dt>Подошва</dt><dd>Искусcтвенныйматериал</dd><dt>Высотакаблука</dt><dd>90</dd><dt>Размерность</dt><dd>Маломерная</dd></dl><p>Обувь, которую мы измерили была 38 размера</p><p>Кожаные перфорированные ботильоны от Betsy выполнены в лаконичном черном цвете. Модель дополнена крупными вставками из непромокаемого текстиля. Декоративная шнуровка и массивный каблук, стилизованный под дерево, - тренды этого сезона. Такие ботильоны добавят изящности и женственности в любой образ.</p>","1990","http://www.sapato.ru/760618","2102750x1000_ut000023228_1.jpg"
"Ботильоны Betsy","<dl><dt>Артикул:</dt><dd>Betsy219013</dd><dt>Дизайн</dt><dd>designedinEU</dd><dt>Сезон</dt><dd>Демисезон</dd><dt>Цвет</dt><dd>Бежевый</dd><dt>Внешнийматериал</dt><dd>Текстиль/Искуственнаякож</dd><dt>Внутреннийматериал</dt><dd>Текстиль</dd><dt>Стелька</dt><dd>Текстиль</dd><dt>Подошва</dt><dd>Искусcтвенныйматериал</dd><dt>Высотакаблука</dt><dd>90</dd><dt>Размерность</dt><dd>Маломерная</dd></dl><p>Обувь, которую мы измерили была 38 размера</p><p>Кожаные перфорированные ботильоны от Betsy выполнены в приятном бежевом цвете. Модель дополнена крупными вставками из непромокаемого текстиля. Декоративная шнуровка и массивный каблук, стилизованный под дерево, - тренды этого сезона. Такие ботильоны добавят изящности и женственности в любой образ.</p>","1990","http://www.sapato.ru/760620","6119750x1000_ut000023230_1.jpg"
"Ботильоны Betsy","<dl><dt>Артикул:</dt><dd>Betsy219013</dd><dt>Дизайн</dt><dd>designedinEU</dd><dt>Сезон</dt><dd>Демисезон</dd><dt>Цвет</dt><dd>Коричневый</dd><dt>Внешнийматериал</dt><dd>Текстиль/Искуственнаякож</dd><dt>Внутреннийматериал</dt><dd>Текстиль</dd><dt>Стелька</dt><dd>Текстиль</dd><dt>Подошва</dt><dd>Искусcтвенныйматериал</dd><dt>Высотакаблука</dt><dd>90</dd><dt>Размерность</dt><dd>Маломерная</dd></dl><p>Обувь, которую мы измерили была 38 размера</p><p>Кожаные перфорированные ботильоны от Betsy выполнены в приятном светло-коричневом цвете. Модель дополнена крупными вставками из непромокаемого текстиля. Декоративная шнуровка и массивный каблук, стилизованный под дерево, - тренды этого сезона. Такие ботильоны добавят изящности и женственности в любой образ.</p>","1990","http://www.sapato.ru/760621","9457750x1000_ut000023231_1.jpg"
"Ботильоны Betsy","<dl><dt>Артикул:</dt><dd>Betsy219013</dd><dt>Дизайн</dt><dd>designedinEU</dd><dt>Сезон</dt><dd>Демисезон</dd><dt>Цвет</dt><dd>Черный</dd><dt>Внешнийматериал</dt><dd>Искусственнаязамша</dd><dt>Внутреннийматериал</dt><dd>Текстиль</dd><dt>Стелька</dt><dd>Текстиль</dd><dt>Подошва</dt><dd>Искусcтвенныйматериал</dd><dt>Высотакаблука</dt><dd>90</dd><dt>Размерность</dt><dd>Маломерная</dd></dl><p>Обувь, которую мы измерили была 38 размера</p><p>Замшевые перфорированные ботильоны от Betsy выполнены в лаконичном черном цвете. Модель дополнена крупными вставками из непромокаемого текстиля. Декоративная шнуровка и массивный каблук, стилизованный под дерево, - тренды этого сезона. Такие ботильоны добавят изящности и женственности в любой образ.</p>","1990","http://www.sapato.ru/760619","2548750x1000_ut000023229_1.jpg"
"Ботильоны Liska","<dl><dt>Артикул:</dt><dd>LiskaSK11107T</dd><dt>Дизайн</dt><dd>designedinRussia</dd><dt>Сезон</dt><dd>Демисезон</dd><dt>Цвет</dt><dd>Серый</dd><dt>Внешнийматериал</dt><dd>Войлок</dd><dt>Внутреннийматериал</dt><dd>Натуральнаякожа</dd><dt>Стелька</dt><dd>Натуральнаякожа</dd><dt>Подошва</dt><dd>Искусcтвенныйматериал</dd><dt>Высотакаблука</dt><dd>130</dd></dl><p>Оригинальные демисезонные ботильоны от Liska. Верх, выполненный из серого войлока, оформлен черными вставками с глухой фигурной перфорацией на мысе и заднике. Край украшен отворотом. Удобная молния расположена в области задника. Высокий каблук компенсируется платформой, декорированной войлоком и кожаными кантами с прострочкой. Внутренняя отделка исполнена из кожи.</p>","1970","http://www.sapato.ru/398819","1738750x1000_ut000013153_1.jpg"
"Ботильоны Birinci Elite","<dl><dt>Артикул:</dt><dd>BirinciElite488</dd><dt>Дизайн</dt><dd>designedinItaly</dd><dt>Сезон</dt><dd>Лето</dd><dt>Цвет</dt><dd>Бежевый</dd><dt>Внешнийматериал</dt><dd>Натуральнаязамша</dd><dt>Внутреннийматериал</dt><dd>Натуральнаякожа</dd><dt>Стелька</dt><dd>Натуральнаякожа</dd><dt>Подошва</dt><dd>Искусcтвенныйматериал</dd><dt>Высотакаблука</dt><dd>100</dd><dt>Размерность</dt><dd>Размервразмер</dd></dl><p>Обувь, которую мы измерили была 38 размера</p><p>Ультрамодные летние ботильоны от Birinci Elite не позволят вам остаться незамеченной. Серый замшевый верх дополнен контрастными фигурными прострочками и голубой кожаной вставкой. Сзади - застежка на молнию. Внутри - натуральная кожа.</p>","7490","http://www.sapato.ru/703492","1991750x1000_ut000021731_1.jpg"
"Ботильоны Lena Milan","<dl><dt>Артикул:</dt><dd>LenaMilanHL3147</dd><dt>Дизайн</dt><dd>designedinRussia</dd><dt>Сезон</dt><dd>Демисезон</dd><dt>Цвет</dt><dd>Черный</dd><dt>Внешнийматериал</dt><dd>Натуральнаязамша</dd><dt>Внутреннийматериал</dt><dd>Натуральнаякожа</dd><dt>Стелька</dt><dd>Натуральнаякожа</dd><dt>Подошва</dt><dd>Искусcтвенныйматериал</dd><dt>Высотакаблука</dt><dd>125</dd><dt>Высотаплатформы</dt><dd>20</dd><dt>Размерность</dt><dd>Размервразмер</dd></dl><p>Обувь, которую мы измерили была 38 размера</p><p>Трендовые ботильоны от Lena Milan на высоком тонком каблуке и платформе. Модель исполнена из черной натуральной замши и оформлена тонкой высокой шнуровкой, фигурной перфорацией по кантам и прострочками. Внутри - отделка из кожи.</p>","3490","http://www.sapato.ru/662461","3416750x1000_ut000020752_1.jpg"
"Ботильоны Liska","<dl><dt>Артикул:</dt><dd>LiskaSK11103HK</dd><dt>Дизайн</dt><dd>designedinRussia</dd><dt>Сезон</dt><dd>Демисезон</dd><dt>Цвет</dt><dd>Черный</dd><dt>Внешнийматериал</dt><dd>Натуральнаязамша</dd><dt>Внутреннийматериал</dt><dd>Натуральнаякожа</dd><dt>Стелька</dt><dd>Натуральнаякожа</dd><dt>Подошва</dt><dd>Искусcтвенныйматериал</dd><dt>Высотакаблука</dt><dd>105</dd><dt>Размерность</dt><dd>Размервразмер</dd></dl><p>Обувь, которую мы измерили была 38 размера</p><p>Довольно элегантные ботильоны от Liska наиболее выигрышно будут смотреться со строгим костюмом. Лаконичный черный верх модели выполнен из натуральной замши. Особенно эффектно смотрится длинный заостренный мыс гармонично сочетающийся с широким, обтянутым замшей каблуком. Линия подъема дополнена крупной эластичной вставкой.</p>","3500","http://www.sapato.ru/770355","7727750x1000_ut000023858_1.jpg"
"Ботильоны Nando Muzi","<dl><dt>Артикул:</dt><dd>NandoMuzi7641</dd><dt>Дизайн</dt><dd>MadeinItaly</dd><dt>Сезон</dt><dd>Лето</dd><dt>Цвет</dt><dd>Черный</dd><dt>Внешнийматериал</dt><dd>Натуральнаякожа</dd><dt>Внутреннийматериал</dt><dd>Натуральнаякожа</dd><dt>Стелька</dt><dd>Натуральнаякожа</dd><dt>Подошва</dt><dd>Нат.кожа/Искусств.мат</dd><dt>Высотакаблука</dt><dd>150</dd><dt>Высотаплатформы</dt><dd>30</dd><dt>Размерность</dt><dd>Маломерная</dd></dl><p>Обувь, которую мы измерили была 39 размера</p><p>Модные ботильоны от Nando Muzi. Верх модели выполнен из натуральной черной кожи. Модель декорирована стильной декоративной присборкой в области задника. Ультравысокий тонкий каблук и компенсирующая его платформа, выполненные в черном цвете.</p>","12590","http://www.sapato.ru/772360","7952750x1000_ut000024275_1.jpg"
"Ботильоны Birinci","<dl><dt>Артикул:</dt><dd>Birinci1441520</dd><dt>Дизайн</dt><dd>madeinTurkey</dd><dt>Сезон</dt><dd>Демисезон</dd><dt>Цвет</dt><dd>Черный</dd><dt>Внешнийматериал</dt><dd>Натуральнаякожа</dd><dt>Внутреннийматериал</dt><dd>Натуральнаякожа</dd><dt>Стелька</dt><dd>Натуральнаякожа</dd><dt>Подошва</dt><dd>Искусcтвенныйматериал</dd><dt>Высотакаблука</dt><dd>90</dd><dt>Высотаголенища</dt><dd>100</dd><dt>Объемголенища</dt><dd>200</dd><dt>Размерность</dt><dd>Маломерная</dd></dl><p>Обувь, которую мы измерили была 38 размера</p><p>Элегантные ботильоны от Birinci займут достойное место в любом гардеробе. Верх украшен небольшими изящными складками. Отсутствие застежки компенсирует широкое голенище с небольшой кулиской. Массивный каблук, стилизованный под дерево, - тренд этого сезона,</p>","6990","http://www.sapato.ru/760673","9059750x1000_ut000023285_1.jpg"
"Ботильоны Birinci Elite","<dl><dt>Артикул:</dt><dd>BirinciElite51</dd><dt>Дизайн</dt><dd>designedinItaly</dd><dt>Сезон</dt><dd>Лето</dd><dt>Цвет</dt><dd>Розовый</dd><dt>Внешнийматериал</dt><dd>Нат.замша/Нат.кожа</dd><dt>Внутреннийматериал</dt><dd>Натуральнаякожа</dd><dt>Стелька</dt><dd>Натуральнаякожа</dd><dt>Подошва</dt><dd>Искусcтвенныйматериал</dd><dt>Высотакаблука</dt><dd>110</dd><dt>Размерность</dt><dd>Размервразмер</dd></dl><p>Обувь, которую мы измерили была 38 размера</p><p>Трендовые открытые ботильоны от Birinci Elite. Модель выполнена из мягкой нежно-розовой перфорированной замши и украшена стильными декоративными ремешками светло-бежевого цвета. Высокий устойчивый каблук обтянут кожей.</p>","7990","http://www.sapato.ru/703498","5695750x1000_ut000021734_1.jpg"
"Ботильоны Liska","<dl><dt>Артикул:</dt><dd>LiskaSK1122T</dd><dt>Дизайн</dt><dd>designedinRussia</dd><dt>Сезон</dt><dd>Демисезон</dd><dt>Цвет</dt><dd>Черный</dd><dt>Внешнийматериал</dt><dd>Натуральнаякожа/текстиль</dd><dt>Внутреннийматериал</dt><dd>Натуральнаякожа/текстиль</dd><dt>Стелька</dt><dd>Натуральнаякожа</dd><dt>Подошва</dt><dd>Искусcтвенныйматериал</dd><dt>Высотакаблука</dt><dd>100</dd><dt>Размерность</dt><dd>Размервразмер</dd></dl><p>Обувь, которую мы измерили была 38 размера</p><p>Лаконичные черные ботильоны Liska - превосходный выбор на каждый день. Отсутствие застежки компенсируют крупные эластичные вставки. Массивный каблук, украшенный зеркальной металлической вставкой, делает эту модель очень удобной для ходьбы.</p>","4220","http://www.sapato.ru/770357","8731750x1000_ut000023864_1.jpg"
